labels,Symptoms
TUBERCULOSIS,"Shortness of breath, Night sweats, Coughing blood, Loss of appetite, Chest pain, Weakness, Fever"
COVID19,"Sore throat, Shortness of breath, Fatigue, Congestion, Fever"
NORMAL,No symptoms
PNEUMONIA,"Weakness, Fatigue, Loss of appetite, Chills, Cough with phlegm, Muscle pain"
TUBERCULOSIS,"Weight loss, Loss of appetite, Chest pain, Coughing blood, Fever, Chills, Fatigue"
COVID19,"Shortness of breath, Diarrhea, Fatigue, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Fever, Sweating"
TUBERCULOSIS,"Chronic cough, Night sweats, Loss of appetite, Shortness of breath, Fever, Chills, Weight loss"
COVID19,"Diarrhea, Chills, Body aches, Loss of taste or smell, Cough"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Loss of appetite, Cough with phlegm, Sweating, Fatigue"
TUBERCULOSIS,"Chills, Fever, Weakness, Chronic cough, Weight loss, Night sweats"
COVID19,"Sore throat, Loss of taste or smell, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Sweating, Fever, Muscle pain"
TUBERCULOSIS,"Weight loss, Night sweats, Fatigue, Coughing blood"
COVID19,"Diarrhea, Shortness of breath, Headache, Body aches, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Muscle pain, Loss of appetite, Cough with phlegm, Chills, Chest pain"
TUBERCULOSIS,"Fever, Weight loss, Chest pain"
COVID19,"Body aches, Sore throat, Chills"
NORMAL,No symptoms
PNEUMONIA,"Weakness, Shortness of breath, Muscle pain, Loss of appetite, Sweating"
TUBERCULOSIS,"Night sweats, Loss of appetite, Shortness of breath, Chills, Chronic cough, Fever, Weight loss"
COVID19,"Body aches, Sore throat, Nausea, Fatigue, Loss of taste or smell, Headache"
NORMAL,No symptoms
PNEUMONIA,"Fatigue, Cough with phlegm, Bluish skin, Fever"
TUBERCULOSIS,"Weight loss, Chronic cough, Fatigue"
COVID19,"Fever, Body aches, Cough, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Fever, Chest pain"
TUBERCULOSIS,"Fever, Chest pain, Chronic cough, Coughing blood"
COVID19,"Diarrhea, Fatigue, Sore throat, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Cough with phlegm, Fatigue, Muscle pain"
TUBERCULOSIS,"Fever, Chronic cough, Chills, Coughing blood, Night sweats, Chest pain"
COVID19,"Body aches, Chills, Sore throat, Nausea, Loss of taste or smell, Cough, Headache"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Chills, Loss of appetite, Weakness, Fever, Chest pain"
TUBERCULOSIS,"Coughing blood, Fever, Chronic cough, Weakness, Loss of appetite, Weight loss, Shortness of breath"
COVID19,"Fatigue, Loss of taste or smell, Diarrhea, Nausea, Shortness of breath, Cough, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Chills, Loss of appetite, Fever"
TUBERCULOSIS,"Loss of appetite, Weight loss, Fatigue"
COVID19,"Headache, Sore throat, Loss of taste or smell, Nausea, Diarrhea, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Fever, Loss of appetite, Muscle pain, Chills, Cough with phlegm"
TUBERCULOSIS,"Loss of appetite, Chills, Night sweats, Coughing blood, Chest pain, Fatigue"
COVID19,"Chills, Loss of taste or smell, Cough, Sore throat, Fever, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Cough with phlegm, Loss of appetite, Shortness of breath, Fatigue, Muscle pain, Chest pain, Fever"
TUBERCULOSIS,"Weakness, Fever, Shortness of breath, Night sweats, Chronic cough, Chest pain"
COVID19,"Loss of taste or smell, Diarrhea, Cough, Fever, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Fever, Sweating, Chest pain"
TUBERCULOSIS,"Weakness, Coughing blood, Chills, Night sweats"
COVID19,"Congestion, Fatigue, Chills, Fever"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Muscle pain, Chills, Weakness, Loss of appetite"
TUBERCULOSIS,"Loss of appetite, Chronic cough, Fever, Chest pain, Coughing blood, Weakness, Chills"
COVID19,"Nausea, Fatigue, Diarrhea, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Chills, Weakness, Shortness of breath"
TUBERCULOSIS,"Night sweats, Chest pain, Fatigue, Fever, Chronic cough, Weakness, Shortness of breath"
COVID19,"Headache, Sore throat, Diarrhea, Chills, Shortness of breath, Fever, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Fatigue, Chills, Loss of appetite"
TUBERCULOSIS,"Coughing blood, Chest pain, Chronic cough, Weakness"
COVID19,"Headache, Diarrhea, Shortness of breath, Fatigue, Loss of taste or smell"
NORMAL,No symptoms
PNEUMONIA,"Fatigue, Chills, Chest pain, Sweating, Fever"
TUBERCULOSIS,"Loss of appetite, Chronic cough, Fever, Fatigue, Weight loss, Chills, Night sweats"
COVID19,"Nausea, Headache, Shortness of breath, Fever, Diarrhea"
NORMAL,No symptoms
PNEUMONIA,"Weakness, Fever, Cough with phlegm"
TUBERCULOSIS,"Chest pain, Fever, Chronic cough, Fatigue, Coughing blood"
COVID19,"Headache, Loss of taste or smell, Sore throat, Body aches, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Fever, Fatigue, Loss of appetite, Cough with phlegm, Muscle pain, Chest pain"
TUBERCULOSIS,"Night sweats, Weight loss, Chronic cough, Chest pain, Fatigue"
COVID19,"Nausea, Headache, Fatigue"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Sweating, Loss of appetite"
TUBERCULOSIS,"Weakness, Coughing blood, Fever, Weight loss"
COVID19,"Congestion, Nausea, Loss of taste or smell, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Fever, Weakness, Chest pain, Sweating, Muscle pain"
TUBERCULOSIS,"Weakness, Fatigue, Fever, Loss of appetite, Chest pain, Chronic cough"
COVID19,"Diarrhea, Sore throat, Cough, Shortness of breath, Fever, Body aches, Headache"
NORMAL,No symptoms
PNEUMONIA,"Chills, Muscle pain, Fatigue"
TUBERCULOSIS,"Weight loss, Chills, Chest pain, Coughing blood, Chronic cough, Weakness, Fatigue"
COVID19,"Cough, Fever, Fatigue, Headache"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Chills, Shortness of breath, Fatigue, Muscle pain, Weakness, Cough with phlegm"
TUBERCULOSIS,"Shortness of breath, Weakness, Night sweats, Chest pain, Weight loss, Chills"
COVID19,"Nausea, Sore throat, Headache"
NORMAL,No symptoms
PNEUMONIA,"Fatigue, Shortness of breath, Bluish skin, Muscle pain, Weakness"
TUBERCULOSIS,"Loss of appetite, Weakness, Fatigue, Chills, Chronic cough, Coughing blood, Chest pain"
COVID19,"Fever, Body aches, Chills, Shortness of breath, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Chills, Muscle pain, Fever"
TUBERCULOSIS,"Shortness of breath, Fever, Coughing blood, Loss of appetite, Chest pain, Chills"
COVID19,"Nausea, Congestion, Headache"
NORMAL,No symptoms
PNEUMONIA,"Chest pain, Weakness, Sweating, Cough with phlegm"
TUBERCULOSIS,"Loss of appetite, Chronic cough, Weakness, Fatigue, Weight loss, Shortness of breath"
COVID19,"Chills, Loss of taste or smell, Body aches, Fatigue, Fever"
NORMAL,No symptoms
PNEUMONIA,"Chills, Loss of appetite, Bluish skin, Cough with phlegm, Fever, Chest pain, Muscle pain"
TUBERCULOSIS,"Fatigue, Chronic cough, Loss of appetite, Weakness, Shortness of breath"
COVID19,"Sore throat, Fever, Body aches, Loss of taste or smell, Nausea, Chills"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Fatigue, Weakness"
TUBERCULOSIS,"Chills, Coughing blood, Night sweats, Shortness of breath"
COVID19,"Loss of taste or smell, Nausea, Body aches, Diarrhea, Chills"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Cough with phlegm, Sweating"
TUBERCULOSIS,"Chest pain, Shortness of breath, Coughing blood"
COVID19,"Headache, Chills, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Weakness, Bluish skin"
TUBERCULOSIS,"Weakness, Chronic cough, Weight loss, Shortness of breath, Fever, Fatigue, Chest pain"
COVID19,"Fever, Sore throat, Headache, Cough, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Fatigue, Chills, Chest pain, Loss of appetite, Shortness of breath, Sweating"
TUBERCULOSIS,"Weight loss, Weakness, Loss of appetite"
COVID19,"Diarrhea, Fatigue, Shortness of breath, Chills"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Cough with phlegm, Fever, Chills, Sweating, Weakness"
TUBERCULOSIS,"Shortness of breath, Weight loss, Chest pain, Chronic cough, Chills, Loss of appetite"
COVID19,"Shortness of breath, Cough, Congestion, Headache, Sore throat, Diarrhea"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Weakness, Cough with phlegm, Fever, Sweating"
TUBERCULOSIS,"Loss of appetite, Chills, Shortness of breath, Chronic cough, Fatigue"
COVID19,"Fever, Headache, Diarrhea, Body aches, Chills, Loss of taste or smell, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Loss of appetite, Muscle pain, Chills, Bluish skin, Fever, Chest pain"
TUBERCULOSIS,"Shortness of breath, Chills, Weakness"
COVID19,"Cough, Fatigue, Diarrhea, Shortness of breath, Headache, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Fever, Fatigue, Shortness of breath, Weakness, Loss of appetite"
TUBERCULOSIS,"Fever, Weakness, Fatigue, Weight loss, Coughing blood, Night sweats, Chronic cough"
COVID19,"Sore throat, Shortness of breath, Fever, Chills, Fatigue"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Weakness, Muscle pain"
TUBERCULOSIS,"Chills, Chest pain, Chronic cough"
COVID19,"Fatigue, Cough, Fever"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Chest pain, Weakness, Chills, Loss of appetite"
TUBERCULOSIS,"Weight loss, Chronic cough, Chills, Fever"
COVID19,"Cough, Chills, Sore throat, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Chills, Weakness, Muscle pain, Bluish skin, Fatigue, Shortness of breath"
TUBERCULOSIS,"Fever, Fatigue, Coughing blood, Chills, Chest pain, Weight loss"
COVID19,"Diarrhea, Congestion, Chills, Fatigue, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Chest pain, Loss of appetite, Muscle pain, Chills, Sweating"
TUBERCULOSIS,"Chills, Weakness, Chronic cough, Weight loss, Fatigue, Coughing blood, Fever"
COVID19,"Headache, Loss of taste or smell, Fever"
NORMAL,No symptoms
PNEUMONIA,"Chills, Bluish skin, Chest pain, Fatigue"
TUBERCULOSIS,"Coughing blood, Chronic cough, Weight loss"
COVID19,"Diarrhea, Cough, Body aches, Chills, Loss of taste or smell"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Fatigue, Fever, Muscle pain, Sweating"
TUBERCULOSIS,"Coughing blood, Chronic cough, Fever, Night sweats, Loss of appetite, Shortness of breath"
COVID19,"Body aches, Diarrhea, Fatigue, Congestion, Cough, Nausea, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Sweating, Weakness, Fatigue, Bluish skin, Muscle pain"
TUBERCULOSIS,"Weight loss, Chronic cough, Chest pain, Night sweats, Chills"
COVID19,"Body aches, Headache, Fatigue"
NORMAL,No symptoms
PNEUMONIA,"Weakness, Chills, Bluish skin, Muscle pain"
TUBERCULOSIS,"Shortness of breath, Chills, Weakness"
COVID19,"Fever, Cough, Loss of taste or smell, Headache, Body aches"
NORMAL,No symptoms
PNEUMONIA,"Chest pain, Fatigue, Loss of appetite, Cough with phlegm"
TUBERCULOSIS,"Weight loss, Chronic cough, Loss of appetite, Weakness, Shortness of breath"
COVID19,"Shortness of breath, Fever, Nausea, Fatigue, Diarrhea, Cough"
NORMAL,No symptoms
PNEUMONIA,"Cough with phlegm, Bluish skin, Weakness, Fatigue, Shortness of breath, Fever"
TUBERCULOSIS,"Weight loss, Loss of appetite, Fever, Chills, Coughing blood, Chronic cough, Shortness of breath"
COVID19,"Sore throat, Chills, Diarrhea, Fatigue, Congestion, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Weakness, Fatigue, Bluish skin"
TUBERCULOSIS,"Chills, Night sweats, Fever, Weakness, Coughing blood, Chest pain, Shortness of breath"
COVID19,"Fever, Fatigue, Body aches, Diarrhea, Sore throat, Loss of taste or smell"
NORMAL,No symptoms
PNEUMONIA,"Chest pain, Fatigue, Bluish skin, Fever, Loss of appetite, Weakness"
TUBERCULOSIS,"Loss of appetite, Coughing blood, Chest pain, Fever, Chronic cough, Weight loss"
COVID19,"Body aches, Cough, Fatigue, Nausea, Loss of taste or smell, Headache"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Sweating, Weakness, Bluish skin, Chills, Cough with phlegm"
TUBERCULOSIS,"Loss of appetite, Fatigue, Shortness of breath, Coughing blood, Chills, Chest pain"
COVID19,"Cough, Diarrhea, Headache, Fatigue, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Chills, Loss of appetite, Shortness of breath"
TUBERCULOSIS,"Fatigue, Chest pain, Night sweats, Shortness of breath, Weakness, Loss of appetite, Coughing blood"
COVID19,"Nausea, Body aches, Cough, Fever, Congestion, Chills, Diarrhea"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Loss of appetite, Sweating, Chest pain, Bluish skin"
TUBERCULOSIS,"Loss of appetite, Chronic cough, Fatigue"
COVID19,"Diarrhea, Shortness of breath, Chills, Headache, Fever, Loss of taste or smell, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Chills, Fatigue, Loss of appetite, Shortness of breath, Chest pain"
TUBERCULOSIS,"Night sweats, Coughing blood, Chills, Weight loss, Fever, Fatigue"
COVID19,"Body aches, Diarrhea, Loss of taste or smell, Nausea, Chills"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Cough with phlegm, Fatigue, Sweating, Fever"
TUBERCULOSIS,"Night sweats, Chronic cough, Coughing blood, Weight loss"
COVID19,"Shortness of breath, Congestion, Sore throat, Diarrhea, Chills"
NORMAL,No symptoms
PNEUMONIA,"Cough with phlegm, Fever, Shortness of breath"
TUBERCULOSIS,"Shortness of breath, Chest pain, Weakness, Fatigue, Night sweats"
COVID19,"Loss of taste or smell, Chills, Headache"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Muscle pain, Shortness of breath"
TUBERCULOSIS,"Coughing blood, Loss of appetite, Fever, Shortness of breath, Chills, Chest pain, Night sweats"
COVID19,"Shortness of breath, Headache, Fever, Fatigue, Diarrhea, Loss of taste or smell, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Chills, Bluish skin, Fatigue, Chest pain, Loss of appetite"
TUBERCULOSIS,"Weakness, Chronic cough, Fatigue"
COVID19,"Sore throat, Body aches, Cough, Fever"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Sweating, Chills, Fever, Shortness of breath"
TUBERCULOSIS,"Weakness, Coughing blood, Fatigue, Night sweats"
COVID19,"Cough, Fever, Body aches, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Cough with phlegm, Loss of appetite, Weakness, Muscle pain, Chest pain, Sweating"
TUBERCULOSIS,"Chronic cough, Chest pain, Weakness, Chills, Coughing blood, Fatigue, Weight loss"
COVID19,"Cough, Sore throat, Shortness of breath, Diarrhea"
NORMAL,No symptoms
